species ,genus,family 
Senegalia pruinescens,Senegalia,Fabaceae
Marsdenia tenacissima,Marsdenia,Apocynaceae
Piper flaviflorum,Piper,Piperaceae
Celastrus paniculatus,Celastrus,Celastraceae
Celastrus monospermus,Celastrus,Celastraceae
Aspidopterys obcordata,Aspidopterys,Malpighiaceae
Ventilago leiocarpa,Ventilago,Rhamnaceae
Pottsia laxiflora,Pottsia,Apocynaceae
Calamus henryanus,Calamus,Arecaceae
Ichnocarpus frutenscens,Ichnocarpus,Apocynaceae
Ayenia grandifolia,Ayenia,Malvaceae
Celastrus sp1,Celastrus,Celastraceae
Gouania leptostachya,Gounia,Rhamnaceae
Tetrastigma planicaule,Tetrastigma,Vitaceae
Derris taiwaniana,Derris,Fabaceae
Millettia leptobotrya,Millettia,Fabaceae
Gnetum montanum,Gnetum,Gnetaceae
Iodes vitiginea,Iodes,Icacinaceae
Cheniella touranensis,Cheniella,Fabaceae
Urceola rosea,Urceola,Apocynaceae
Bridelia stipularis,Bridelia,Phyllanthaceae
Cayratia trifolia,Cayratia,Vitaceae
Pegia nitida,pegia,Anacardiaceae
Toxocarpus fuscus,Toxocarpus,Apocynaceae
Dalbergia stipulacea,Dalbergia,Fabaceae
Dalbergia rimosa,Dalbergia,Fabaceae
Elaeagnus conferta,Elaeagnus,Elaeagnaceae
Dalbergia mimosoides,Dalbergia,Fabaceae
Celastrus sp2,Celastrus,Celastraceae
Phyllanthus reticulatus,phyllanthus,Phyllanthaceae
